,Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
43894,2019,CA,California,Sonoma,6097,6097150607,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.0,,,87.9,88.0,"5,369",POINT (-122.643752 38.27665756),6097150607,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43897,2019,CA,California,Sonoma,6097,6097153501,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,29.2,,,27.8,30.6,"4,319",POINT (-122.7944421 38.33739063),6097153501,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43900,2019,CA,California,Sonoma,6097,6097151307,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,25.0,,,23.9,25.9,"5,174",POINT (-122.6996297 38.37051692),6097151307,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43904,2019,CA,California,Sonoma,6097,6097151800,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,87.8,,,87.3,88.3,"5,219",POINT (-122.6914121 38.4426838),6097151800,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43912,2019,CA,California,Sonoma,6097,6097153501,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,32.0,,,31.1,33.0,"4,319",POINT (-122.7944421 38.33739063),6097153501,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43913,2019,CA,California,Sonoma,6097,6097153403,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,89.7,,,89.6,89.9,"3,840",POINT (-122.7999113 38.38068263),6097153403,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43916,2019,CA,California,Sonoma,6097,6097150203,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,78.0,,,76.8,79.1,"4,505",POINT (-122.4621172 38.27748774),6097150203,PREVENT,BPMED,CrdPrv,Taking BP Medication
43924,2019,CA,California,Sonoma,6097,6097152702,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,67.9,,,66.8,69.0,"5,242",POINT (-122.7913312 38.50429832),6097152702,PREVENT,BPMED,CrdPrv,Taking BP Medication
43942,2019,CA,California,Sonoma,6097,6097150100,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,30.1,,,28.7,31.6,"2,322",POINT (-122.4306141 38.21566761),6097150100,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43947,2019,CA,California,Sonoma,6097,6097152904,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,86.0,,,85.1,86.9,"5,095",POINT (-122.7607378 38.46115507),6097152904,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43956,2019,CA,California,Sonoma,6097,6097151308,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,72.7,,,71.3,74.1,"4,796",POINT (-122.6998746 38.35624371),6097151308,PREVENT,BPMED,CrdPrv,Taking BP Medication
43964,2019,CA,California,Sonoma,6097,6097150612,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.4,,,87.9,88.9,"4,325",POINT (-122.5459066 38.21818966),6097150612,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43984,2019,CA,California,Sonoma,6097,6097151000,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.2,,,88.1,88.4,"3,483",POINT (-122.6798779 38.25766057),6097151000,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43985,2019,CA,California,Sonoma,6097,6097151402,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,81.2,,,81.1,81.4,"9,177",POINT (-122.7058248 38.39775066),6097151402,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43989,2019,CA,California,Sonoma,6097,6097152100,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,82.6,,,82.5,82.7,"3,004",POINT (-122.7228568 38.45920623),6097152100,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43999,2019,CA,California,Sonoma,6097,6097153003,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,24.9,,,24.2,25.7,"5,502",POINT (-122.738478 38.434023),6097153003,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44002,2019,CA,California,Sonoma,6097,6097150902,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,30.1,,,29.1,31.1,"3,350",POINT (-122.6532625 38.24434795),6097150902,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44004,2019,CA,California,Sonoma,6097,6097150611,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,23.0,,,22.0,24.0,"4,067",POINT (-122.5874493 38.23985408),6097150611,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44012,2019,CA,California,Sonoma,6097,6097153300,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,25.7,,,25.2,26.3,"11,010",POINT (-122.7670647 38.39533528),6097153300,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44015,2019,CA,California,Sonoma,6097,6097153300,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,24.5,,,23.8,25.1,"11,010",POINT (-122.7670647 38.39533528),6097153300,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44022,2019,CA,California,Sonoma,6097,6097153806,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,30.0,,,29.1,30.9,"3,288",POINT (-122.8020381 38.55255134),6097153806,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44027,2019,CA,California,Sonoma,6097,6097153200,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,22.9,,,22.3,23.4,"7,522",POINT (-122.7283906 38.3880655),6097153200,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44030,2019,CA,California,Sonoma,6097,6097150701,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,28.3,,,27.4,29.3,"4,609",POINT (-122.6296607 38.23348458),6097150701,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44035,2019,CA,California,Sonoma,6097,6097151311,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,22.6,,,21.9,23.3,"6,382",POINT (-122.6768567 38.32599808),6097151311,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44070,2019,CA,California,Sonoma,6097,6097153403,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,72.8,,,71.7,73.8,"3,840",POINT (-122.7999113 38.38068263),6097153403,PREVENT,BPMED,CrdPrv,Taking BP Medication
44073,2019,CA,California,Sonoma,6097,6097150607,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,66.5,,,65.3,67.6,"5,369",POINT (-122.643752 38.27665756),6097150607,PREVENT,BPMED,CrdPrv,Taking BP Medication
44075,2019,CA,California,Sonoma,6097,6097152802,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,26.1,,,25.3,26.9,"6,807",POINT (-122.7356618 38.46513505),6097152802,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44080,2019,CA,California,Sonoma,6097,6097153104,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,78.4,,,78.1,78.8,"4,046",POINT (-122.7274672 38.42887792),6097153104,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
44085,2019,CA,California,Sonoma,6097,6097152000,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,61.1,,,59.9,62.3,"2,079",POINT (-122.7133132 38.44162913),6097152000,PREVENT,BPMED,CrdPrv,Taking BP Medication
44088,2019,CA,California,Sonoma,6097,6097154202,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,29.2,,,28.0,30.3,"5,994",POINT (-123.0988818 38.78010108),6097154202,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44089,2019,CA,California,Sonoma,6097,6097151301,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,24.4,,,23.6,25.2,"4,587",POINT (-122.7001716 38.33419755),6097151301,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44090,2019,CA,California,Sonoma,6097,6097153703,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.6,,,88.6,88.7,"3,490",POINT (-123.0089218 38.4740332),6097153703,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
44092,2019,CA,California,Sonoma,6097,6097153003,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,82.7,,,81.9,83.5,"5,502",POINT (-122.738478 38.434023),6097153003,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
44098,2019,CA,California,Sonoma,6097,6097151310,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,15.8,,,15.2,16.5,"6,143",POINT (-122.6825522 38.33932491),6097151310,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44104,2019,CA,California,Sonoma,6097,6097154304,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,34.0,,,33.6,34.5,"2,400",POINT (-123.2008321 38.63514491),6097154304,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44114,2019,CA,California,Sonoma,6097,6097152904,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,26.8,,,26.1,27.5,"5,095",POINT (-122.7607378 38.46115507),6097152904,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44119,2019,CA,California,Sonoma,6097,6097150602,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,70.2,,,69.0,71.4,"4,307",POINT (-122.6067941 38.24406941),6097150602,PREVENT,BPMED,CrdPrv,Taking BP Medication
44122,2019,CA,California,Sonoma,6097,6097153801,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,85.6,,,84.9,86.2,"9,648",POINT (-122.8433378 38.52923376),6097153801,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
44131,2019,CA,California,Sonoma,6097,6097150601,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,68.5,,,67.4,69.7,"4,089",POINT (-122.6132447 38.23761007),6097150601,PREVENT,BPMED,CrdPrv,Taking BP Medication
44136,2019,CA,California,Sonoma,6097,6097152600,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,73.3,,,72.4,74.1,"8,365",POINT (-122.6391502 38.52247192),6097152600,PREVENT,BPMED,CrdPrv,Taking BP Medication
44137,2019,CA,California,Sonoma,6097,6097150611,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,26.0,,,25.2,26.7,"4,067",POINT (-122.5874493 38.23985408),6097150611,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44143,2019,CA,California,Sonoma,6097,6097153002,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,82.1,,,81.7,82.6,"6,827",POINT (-122.7327422 38.44106405),6097153002,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
44152,2019,CA,California,Sonoma,6097,6097153401,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,72.2,,,71.1,73.3,"6,131",POINT (-122.8421721 38.41302007),6097153401,PREVENT,BPMED,CrdPrv,Taking BP Medication
44155,2019,CA,California,Sonoma,6097,6097150500,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,32.9,,,32.4,33.4,"5,283",POINT (-122.530653 38.3857562),6097150500,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44163,2019,CA,California,Sonoma,6097,6097151301,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,22.7,,,21.8,23.5,"4,587",POINT (-122.7001716 38.33419755),6097151301,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44168,2019,CA,California,Sonoma,6097,6097152802,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,26.4,,,25.4,27.3,"6,807",POINT (-122.7356618 38.46513505),6097152802,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44184,2019,CA,California,Sonoma,6097,6097153903,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,27.2,,,25.8,28.6,"3,760",POINT (-122.856998 38.61897),6097153903,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44186,2019,CA,California,Sonoma,6097,6097152906,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,24.9,,,24.3,25.6,"5,234",POINT (-122.7997713 38.4719787),6097152906,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44188,2019,CA,California,Sonoma,6097,6097153804,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,25.1,,,24.0,26.2,"3,239",POINT (-122.8126601 38.55651892),6097153804,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44190,2019,CA,California,Sonoma,6097,6097150202,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,89.8,,,89.6,90.0,"5,103",POINT (-122.4393216 38.31883385),6097150202,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
44194,2019,CA,California,Sonoma,6097,6097151306,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,25.1,,,24.1,26.1,"3,636",POINT (-122.6932888 38.34711779),6097151306,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44196,2019,CA,California,Sonoma,6097,6097151503,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,30.1,,,28.7,31.5,"3,572",POINT (-122.6284193 38.41235453),6097151503,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44201,2019,CA,California,Sonoma,6097,6097151311,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,82.3,,,81.6,83.0,"6,382",POINT (-122.6768567 38.32599808),6097151311,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
44212,2019,CA,California,Sonoma,6097,6097151306,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,27.3,,,26.5,28.0,"3,636",POINT (-122.6932888 38.34711779),6097151306,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44234,2019,CA,California,Sonoma,6097,6097153903,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,30.4,,,29.5,31.4,"3,760",POINT (-122.856998 38.61897),6097153903,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44238,2019,CA,California,Sonoma,6097,6097153809,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,71.1,,,70.1,72.2,"4,336",POINT (-122.7813126 38.53316568),6097153809,PREVENT,BPMED,CrdPrv,Taking BP Medication
44244,2019,CA,California,Sonoma,6097,6097153703,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,33.3,,,32.7,33.8,"3,490",POINT (-123.0089218 38.4740332),6097153703,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44252,2019,CA,California,Sonoma,6097,6097151100,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,68.8,,,67.3,70.5,"5,151",POINT (-122.7528019 38.26450304),6097151100,PREVENT,BPMED,CrdPrv,Taking BP Medication
44256,2019,CA,California,Sonoma,6097,6097150901,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,24.2,,,23.2,25.2,"4,904",POINT (-122.6426229 38.2473829),6097150901,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44258,2019,CA,California,Sonoma,6097,6097150204,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,32.9,,,31.8,33.9,"3,678",POINT (-122.4510087 38.28679094),6097150204,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44260,2019,CA,California,Sonoma,6097,6097152202,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,28.9,,,27.8,29.9,"6,763",POINT (-122.6753675 38.46705986),6097152202,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44262,2019,CA,California,Sonoma,6097,6097151311,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,60.5,,,59.0,61.9,"6,382",POINT (-122.6768567 38.32599808),6097151311,PREVENT,BPMED,CrdPrv,Taking BP Medication
44265,2019,CA,California,Sonoma,6097,6097151602,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,43.0,,,40.8,45.4,"3,324",POINT (-122.5990353 38.42135652),6097151602,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44272,2019,CA,California,Sonoma,6097,6097152300,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,32.9,,,31.8,34.1,"4,329",POINT (-122.6991365 38.46005112),6097152300,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44273,2019,CA,California,Sonoma,6097,6097153300,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,82.6,,,82.1,83.1,"11,010",POINT (-122.7670647 38.39533528),6097153300,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
44285,2019,CA,California,Sonoma,6097,6097152202,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,30.0,,,29.2,30.8,"6,763",POINT (-122.6753675 38.46705986),6097152202,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44287,2019,CA,California,Sonoma,6097,6097151504,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,30.6,,,29.6,31.6,"3,563",POINT (-122.6678321 38.43609803),6097151504,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44289,2019,CA,California,Sonoma,6097,6097153002,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,22.8,,,22.0,23.6,"6,827",POINT (-122.7327422 38.44106405),6097153002,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44297,2019,CA,California,Sonoma,6097,6097152904,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,24.3,,,23.4,25.2,"5,095",POINT (-122.7607378 38.46115507),6097152904,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44299,2019,CA,California,Sonoma,6097,6097153706,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,30.6,,,29.8,31.4,"4,092",POINT (-122.9047107 38.4708187),6097153706,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44305,2019,CA,California,Sonoma,6097,6097152502,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,30.3,,,29.1,31.5,"3,603",POINT (-122.6641417 38.47844145),6097152502,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44333,2019,CA,California,Sonoma,6097,6097150100,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,90.0,,,89.8,90.2,"2,322",POINT (-122.4306141 38.21566761),6097150100,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
44334,2019,CA,California,Sonoma,6097,6097153704,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,72.2,,,71.1,73.3,"3,728",POINT (-123.0063526 38.53105154),6097153704,PREVENT,BPMED,CrdPrv,Taking BP Medication
44341,2019,CA,California,Sonoma,6097,6097151800,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,71.3,,,70.3,72.5,"5,219",POINT (-122.6914121 38.4426838),6097151800,PREVENT,BPMED,CrdPrv,Taking BP Medication
44344,2019,CA,California,Sonoma,6097,6097154303,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,38.5,,,36.7,40.5,"1,720",POINT (-123.3382306 38.61334427),6097154303,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44348,2019,CA,California,Sonoma,6097,6097153808,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,69.4,,,68.1,70.6,"4,251",POINT (-122.8080827 38.54267003),6097153808,PREVENT,BPMED,CrdPrv,Taking BP Medication
44349,2019,CA,California,Sonoma,6097,6097152400,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,29.9,,,29.0,30.9,"10,001",POINT (-122.7072947 38.48579891),6097152400,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44354,2019,CA,California,Sonoma,6097,6097150610,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.1,,,88.0,88.1,"4,004",POINT (-122.6401504 38.26546048),6097150610,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
44364,2019,CA,California,Sonoma,6097,6097152801,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,66.2,,,64.9,67.6,"5,547",POINT (-122.7503891 38.48286905),6097152801,PREVENT,BPMED,CrdPrv,Taking BP Medication
44379,2019,CA,California,Sonoma,6097,6097150203,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,35.0,,,33.2,36.6,"4,505",POINT (-122.4621172 38.27748774),6097150203,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44381,2019,CA,California,Sonoma,6097,6097150902,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.8,,,88.4,89.2,"3,350",POINT (-122.6532625 38.24434795),6097150902,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
44391,2019,CA,California,Sonoma,6097,6097150304,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,23.7,,,22.9,24.5,"6,158",POINT (-122.4901627 38.30680561),6097150304,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44395,2019,CA,California,Sonoma,6097,6097150602,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,87.5,,,87.3,87.7,"4,307",POINT (-122.6067941 38.24406941),6097150602,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
44398,2019,CA,California,Sonoma,6097,6097153006,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,70.2,,,69.1,71.3,"7,286",POINT (-122.7584425 38.44331216),6097153006,PREVENT,BPMED,CrdPrv,Taking BP Medication
44400,2019,CA,California,Sonoma,6097,6097150100,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,73.9,,,72.6,75.1,"2,322",POINT (-122.4306141 38.21566761),6097150100,PREVENT,BPMED,CrdPrv,Taking BP Medication
44407,2019,CA,California,Sonoma,6097,6097153104,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,24.4,,,23.7,25.3,"4,046",POINT (-122.7274672 38.42887792),6097153104,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44415,2019,CA,California,Sonoma,6097,6097153501,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,73.0,,,71.7,74.1,"4,319",POINT (-122.7944421 38.33739063),6097153501,PREVENT,BPMED,CrdPrv,Taking BP Medication
44420,2019,CA,California,Sonoma,6097,6097153801,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,26.4,,,25.7,27.1,"9,648",POINT (-122.8433378 38.52923376),6097153801,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44424,2019,CA,California,Sonoma,6097,6097152100,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,24.4,,,23.8,24.9,"3,004",POINT (-122.7228568 38.45920623),6097152100,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44427,2019,CA,California,Sonoma,6097,6097150204,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,89.8,,,89.5,90.1,"3,678",POINT (-122.4510087 38.28679094),6097150204,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
44430,2019,CA,California,Sonoma,6097,6097152801,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,84.4,,,83.9,84.9,"5,547",POINT (-122.7503891 38.48286905),6097152801,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
44437,2019,CA,California,Sonoma,6097,6097153705,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,32.0,,,31.0,32.9,"3,536",POINT (-122.9077417 38.51057767),6097153705,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44443,2019,CA,California,Sonoma,6097,6097151602,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,40.8,,,39.3,42.3,"3,324",POINT (-122.5990353 38.42135652),6097151602,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
44446,2019,CA,California,Sonoma,6097,6097150306,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,27.2,,,26.5,28.0,"4,107",POINT (-122.469108 38.3390603),6097150306,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
44451,2019,CA,California,Sonoma,6097,6097150609,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.8,,,88.7,88.9,"4,465",POINT (-122.6438375 38.25999779),6097150609,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
44466,2019,CA,California,Sonoma,6097,6097152100,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,22.5,,,21.8,23.2,"3,004",POINT (-122.7228568 38.45920623),6097152100,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
