COUNTY,YEARS,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
Colusa,2015–2016,Age groups,5–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Contra Costa,2015–2016,Age groups,5–17 years,34.3%,(2.0–66.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Del Norte,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
El Dorado,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Fresno,2015–2016,Age groups,5–17 years,20.5%,(3.4–37.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Glenn,2015–2016,Age groups,5–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Humboldt,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Imperial,2015–2016,Age groups,5–17 years,24.1%,(9.0–39.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Inyo,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Kern,2015–2016,Age groups,5–17 years,31.3%,(12.1–50.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Kings,2015–2016,Age groups,5–17 years,35.6%,(11.8–59.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lake,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Lassen,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Los Angeles,2015–2016,Age groups,5–17 years,16.6%,(10.0–23.2),,
Madera,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Marin,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Mariposa,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Mendocino,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Merced,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Modoc,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Mono,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Monterey,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Napa,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Nevada,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Orange,2015–2016,Age groups,5–17 years,22.1%,(5.3–38.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Placer,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Plumas,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Riverside,2015–2016,Age groups,5–17 years,20.6%,(5.2–36.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sacramento,2015–2016,Age groups,5–17 years,13.6%,(1.0–26.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Benito,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
San Bernardino,2015–2016,Age groups,5–17 years,15.7%,(2.6–28.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Diego,2015–2016,Age groups,5–17 years,15.6%,(7.0–24.1),,
San Francisco,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
San Joaquin,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
San Luis Obispo,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
San Mateo,2015–2016,Age groups,5–17 years,26.2%,(1.7–50.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Barbara,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Santa Clara,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Santa Cruz,2015–2016,Age groups,5–17 years,32.3%,(0.5–64.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Shasta,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Sierra,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Siskiyou,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Solano,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Sonoma,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Stanislaus,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Sutter,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Tehama,2015–2016,Age groups,5–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Trinity,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Tulare,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Tuolumne,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Ventura,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Yolo,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Yuba,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
California,2015–2016,Age groups,18–64 years,15.1%,(14.0–16.2),,
Alameda,2015–2016,Age groups,18–64 years,12.9%,(8.4–17.3),,
Alpine,2015–2016,Age groups,18–64 years,12.9%,(4.9–20.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Amador,2015–2016,Age groups,18–64 years,12.9%,(4.9–20.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Butte,2015–2016,Age groups,18–64 years,16.9%,(7.6–26.1),,
Calaveras,2015–2016,Age groups,18–64 years,12.9%,(4.9–20.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Colusa,2015–2016,Age groups,18–64 years,17.7%,(7.7–27.8),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2015–2016,Age groups,18–64 years,19.4%,(12.9–26.0),,
Del Norte,2015–2016,Age groups,18–64 years,19.9%,(5.0–34.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
El Dorado,2015–2016,Age groups,18–64 years,28.3%,(13.0–43.6),,
Fresno,2015–2016,Age groups,18–64 years,15.9%,(8.4–23.3),,
Glenn,2015–2016,Age groups,18–64 years,17.7%,(7.7–27.8),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2015–2016,Age groups,18–64 years,20.5%,(5.3–35.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Imperial,2015–2016,Age groups,18–64 years,11.7%,(6.6–16.8),,
Inyo,2015–2016,Age groups,18–64 years,12.9%,(4.9–20.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Kern,2015–2016,Age groups,18–64 years,20.3%,(13.8–26.8),,
Kings,2015–2016,Age groups,18–64 years,25.9%,(14.5–37.2),,
Lake,2015–2016,Age groups,18–64 years,27.9%,(15.7–40.2),,
Lassen,2015–2016,Age groups,18–64 years,19.9%,(5.0–34.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Los Angeles,2015–2016,Age groups,18–64 years,12.6%,(10.6–14.6),,
Madera,2015–2016,Age groups,18–64 years,13.9%,(5.1–22.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Marin,2015–2016,Age groups,18–64 years,10.9%,(7.2–14.7),,
Mariposa,2015–2016,Age groups,18–64 years,12.9%,(4.9–20.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mendocino,2015–2016,Age groups,18–64 years,18.0%,(8.9–27.0),,
Merced,2015–2016,Age groups,18–64 years,17.4%,(7.5–27.3),,
Modoc,2015–2016,Age groups,18–64 years,19.9%,(5.0–34.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mono,2015–2016,Age groups,18–64 years,12.9%,(4.9–20.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Monterey,2015–2016,Age groups,18–64 years,9.1%,(4.7–13.5),,
Napa,2015–2016,Age groups,18–64 years,22.3%,(10.8–33.8),,
Nevada,2015–2016,Age groups,18–64 years,10.5%,(3.5–17.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Orange,2015–2016,Age groups,18–64 years,10.4%,(6.5–14.3),,
Placer,2015–2016,Age groups,18–64 years,18.2%,(7.7–28.7),,
Plumas,2015–2016,Age groups,18–64 years,19.9%,(5.0–34.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Riverside,2015–2016,Age groups,18–64 years,17.0%,(10.9–23.0),,
Sacramento,2015–2016,Age groups,18–64 years,22.8%,(16.7–29.0),,
San Benito,2015–2016,Age groups,18–64 years,16.2%,(5.4–27.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Bernardino,2015–2016,Age groups,18–64 years,17.6%,(12.7–22.5),,
San Diego,2015–2016,Age groups,18–64 years,15.1%,(12.7–17.6),,
San Francisco,2015–2016,Age groups,18–64 years,15.8%,(8.9–22.7),,
San Joaquin,2015–2016,Age groups,18–64 years,17.8%,(11.1–24.6),,
San Luis Obispo,2015–2016,Age groups,18–64 years,12.6%,(4.9–20.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Mateo,2015–2016,Age groups,18–64 years,17.0%,(10.5–23.6),,
Santa Barbara,2015–2016,Age groups,18–64 years,11.7%,(2.9–20.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Clara,2015–2016,Age groups,18–64 years,11.8%,(7.8–15.9),,
Santa Cruz,2015–2016,Age groups,18–64 years,17.6%,(10.2–25.0),,
Shasta,2015–2016,Age groups,18–64 years,15.7%,(9.0–22.5),,
Sierra,2015–2016,Age groups,18–64 years,19.9%,(5.0–34.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Siskiyou,2015–2016,Age groups,18–64 years,19.9%,(5.0–34.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Solano,2015–2016,Age groups,18–64 years,25.8%,(14.3–37.3),,
Sonoma,2015–2016,Age groups,18–64 years,19.8%,(9.3–30.3),,
Stanislaus,2015–2016,Age groups,18–64 years,17.3%,(9.5–25.1),,
Sutter,2015–2016,Age groups,18–64 years,18.0%,(4.8–31.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tehama,2015–2016,Age groups,18–64 years,17.7%,(7.7–27.8),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2015–2016,Age groups,18–64 years,19.9%,(5.0–34.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tulare,2015–2016,Age groups,18–64 years,18.9%,(11.2–26.7),,
Tuolumne,2015–2016,Age groups,18–64 years,12.9%,(4.9–20.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Ventura,2015–2016,Age groups,18–64 years,17.8%,(11.8–23.8),,
Yolo,2015–2016,Age groups,18–64 years,17.5%,(4.5–30.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yuba,2015–2016,Age groups,18–64 years,21.2%,(11.5–30.8),,
California,2015–2016,Age groups,65+ years,14.3%,(12.8–15.7),,
Alameda,2015–2016,Age groups,65+ years,14.4%,(5.8–23.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Alpine,2015–2016,Age groups,65+ years,19.7%,(5.8–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Amador,2015–2016,Age groups,65+ years,19.7%,(5.8–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Butte,2015–2016,Age groups,65+ years,15.1%,(5.5–24.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Calaveras,2015–2016,Age groups,65+ years,19.7%,(5.8–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Colusa,2015–2016,Age groups,65+ years,15.0%,(1.2–28.7),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Contra Costa,2015–2016,Age groups,65+ years,17.8%,(10.5–25.1),,
Del Norte,2015–2016,Age groups,65+ years,22.2%,(7.6–36.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
El Dorado,2015–2016,Age groups,65+ years,11.7%,(2.3–21.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Fresno,2015–2016,Age groups,65+ years,14.9%,(5.8–23.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Glenn,2015–2016,Age groups,65+ years,15.0%,(1.2–28.7),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Humboldt,2015–2016,Age groups,65+ years,13.6%,(3.3–23.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Imperial,2015–2016,Age groups,65+ years,12.5%,(2.4–22.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Inyo,2015–2016,Age groups,65+ years,19.7%,(5.8–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Kern,2015–2016,Age groups,65+ years,18.0%,(8.5–27.5),,
Kings,2015–2016,Age groups,65+ years,15.0%,(2.5–27.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lake,2015–2016,Age groups,65+ years,15.2%,(4.4–26.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lassen,2015–2016,Age groups,65+ years,22.2%,(7.6–36.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Los Angeles,2015–2016,Age groups,65+ years,13.2%,(10.2–16.2),,
Madera,2015–2016,Age groups,65+ years,15.9%,(6.3–25.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Marin,2015–2016,Age groups,65+ years,12.3%,(5.9–18.8),,
Mariposa,2015–2016,Age groups,65+ years,19.7%,(5.8–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mendocino,2015–2016,Age groups,65+ years,18.1%,(1.2–35.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Merced,2015–2016,Age groups,65+ years,17.1%,(5.6–28.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Modoc,2015–2016,Age groups,65+ years,22.2%,(7.6–36.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mono,2015–2016,Age groups,65+ years,19.7%,(5.8–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Monterey,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
Napa,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
Nevada,2015–2016,Age groups,65+ years,14.4%,(3.4–25.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Orange,2015–2016,Age groups,65+ years,16.2%,(9.5–23.0),,
Placer,2015–2016,Age groups,65+ years,14.1%,(6.3–21.8),,
Plumas,2015–2016,Age groups,65+ years,22.2%,(7.6–36.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Riverside,2015–2016,Age groups,65+ years,8.6%,(4.1–13.2),,
Sacramento,2015–2016,Age groups,65+ years,15.2%,(6.3–24.1),,
San Benito,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
San Bernardino,2015–2016,Age groups,65+ years,14.3%,(5.5–23.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Diego,2015–2016,Age groups,65+ years,12.6%,(8.7–16.5),,
San Francisco,2015–2016,Age groups,65+ years,11.9%,(0.8–23.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Joaquin,2015–2016,Age groups,65+ years,17.8%,(6.1–29.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Luis Obispo,2015–2016,Age groups,65+ years,17.3%,(3.4–31.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Mateo,2015–2016,Age groups,65+ years,19.3%,(6.5–32.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Barbara,2015–2016,Age groups,65+ years,11.5%,(5.7–17.4),,
Santa Clara,2015–2016,Age groups,65+ years,11.2%,(5.3–17.0),,
Santa Cruz,2015–2016,Age groups,65+ years,30.8%,(15.6–46.0),,
Shasta,2015–2016,Age groups,65+ years,12.6%,(2.4–22.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sierra,2015–2016,Age groups,65+ years,22.2%,(7.6–36.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Siskiyou,2015–2016,Age groups,65+ years,22.2%,(7.6–36.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Solano,2015–2016,Age groups,65+ years,20.6%,(4.4–36.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sonoma,2015–2016,Age groups,65+ years,9.9%,(2.8–16.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Stanislaus,2015–2016,Age groups,65+ years,25.5%,(11.1–39.9),,
Sutter,2015–2016,Age groups,65+ years,16.5%,(4.8–28.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tehama,2015–2016,Age groups,65+ years,15.0%,(1.2–28.7),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Trinity,2015–2016,Age groups,65+ years,22.2%,(7.6–36.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tulare,2015–2016,Age groups,65+ years,17.3%,(7.3-27.3),,
Tuolumne,2015–2016,Age groups,65+ years,19.7%,(5.8–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Ventura,2015–2016,Age groups,65+ years,13.0%,(6.5–19.5),,
Yolo,2015–2016,Age groups,65+ years,10.2%,(0.9–19.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yuba,2015–2016,Age groups,65+ years,22.6%,(2.6–42.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
California,2017–2018,Total population,All ages,15.4%,(14.7–16.1),,
Alameda,2017–2018,Total population,All ages,13.8%,(9.7–17.9),,
Alpine,2017–2018,Total population,All ages,18.6%,(8.5–28.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Amador,2017–2018,Total population,All ages,18.6%,(8.5–28.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Butte,2017–2018,Total population,All ages,15.5%,(6.2–24.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Calaveras,2017–2018,Total population,All ages,18.6%,(8.5–28.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Colusa,2017–2018,Total population,All ages,14.9%,(7.6–22.1),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2017–2018,Total population,All ages,17.5%,(12.8–22.1),,
Del Norte,2017–2018,Total population,All ages,19.1%,(10.5–27.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
El Dorado,2017–2018,Total population,All ages,13.3%,(5.2–21.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Fresno,2017–2018,Total population,All ages,19.8%,(13.7–25.8),,
Glenn,2017–2018,Total population,All ages,14.9%,(7.6–22.1),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2017–2018,Total population,All ages,17.3%,(9.5–25.2),,
Imperial,2017–2018,Total population,All ages,14.7%,(5.7–23.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Inyo,2017–2018,Total population,All ages,18.6%,(8.5–28.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2017–2018,Total population,All ages,16.0%,(8.9–23.1),,
Kings,2017–2018,Total population,All ages,18.4%,(11.3–25.5),,
Lake,2017–2018,Total population,All ages,15.2%,(7.4–23.1),,
Lassen,2017–2018,Total population,All ages,19.1%,(10.5–27.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Los Angeles,2017–2018,Total population,All ages,14.6%,(13.0–16.2),,
Madera,2017–2018,Total population,All ages,15.5%,(6.6–24.4),,
Marin,2017–2018,Total population,All ages,14.1%,(5.5–22.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mariposa,2017–2018,Total population,All ages,18.6%,(8.5–28.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2017–2018,Total population,All ages,13.5%,(6.1–21.0),,
Merced,2017–2018,Total population,All ages,13.9%,(6.0–21.8),,
Modoc,2017–2018,Total population,All ages,19.1%,(10.5–27.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Mono,2017–2018,Total population,All ages,18.6%,(8.5–28.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2017–2018,Total population,All ages,13.7%,(7.1–20.3),,
Napa,2017–2018,Total population,All ages,20.6%,(8.1–33.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Nevada,2017–2018,Total population,All ages,15.5%,(6.9–24.1),,
Orange,2017–2018,Total population,All ages,11.9%,(9.0–14.8),,
Placer,2017–2018,Total population,All ages,16.0%,(9.1–22.8),,
Plumas,2017–2018,Total population,All ages,19.1%,(10.5–27.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Riverside,2017–2018,Total population,All ages,15.7%,(9.6–21.7),,
Sacramento,2017–2018,Total population,All ages,20.2%,(15.2–25.1),,
San Benito,2017–2018,Total population,All ages,15.0%,(0.1–29.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Bernardino,2017–2018,Total population,All ages,15.4%,(11.9–19.0),,
San Diego,2017–2018,Total population,All ages,14.6%,(12.2–16.9),,
San Francisco,2017–2018,Total population,All ages,12.7%,(8.0–17.5),,
San Joaquin,2017–2018,Total population,All ages,22.8%,(15.4–30.3),,
San Luis Obispo,2017–2018,Total population,All ages,13.0%,(7.2–18.8),,
San Mateo,2017–2018,Total population,All ages,16.5%,(10.8–22.2),,
Santa Barbara,2017–2018,Total population,All ages,15.2%,(3.7–26.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Clara,2017–2018,Total population,All ages,14.8%,(11.5–18.1),,
Santa Cruz,2017–2018,Total population,All ages,16.0%,(8.9–23.2),,
Shasta,2017–2018,Total population,All ages,12.6%,(6.5–18.7),,
Sierra,2017–2018,Total population,All ages,19.1%,(10.5–27.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
